fecha,hora_deteccion,id_turno,id_tipo_trafico,numero,id_status,id_rumbo,latitud,longitud,referencia_deteccion,estado_deteccion,id_pais_deteccion,fecha_pcr,hora_pcr,latitud_pcr,longitud_pcr,referencia_pcr,estado_pcr,id_pais_pcr,id_resultado,observaciones,id_responsable_turno,elemento_capturo
07/12/2023,11:22:29,3,2,3,1,1,28.327703,-107.341529,34 km al norte de Arnoldstad,Baja California,9,07/12/2023,14:02:39,28.412468,-107.437354,59 km al sur de New Terrence,Baja California,9,1,Identificación de aeronave sin contacto,2,4
14/09/2023,01:19:52,1,2,1,2,2,29.461039,-116.601119,40 km al oeste de Katherinefort,Monterrico,5,14/09/2023,20:15:01,29.470961,-116.615909,53 km al oeste de Joneschester,Monterrico,5,1,Aseguramiento de aeronave y carga,1,2
07/12/2023,07:36:55,2,2,1,2,1,26.052208,-109.526533,26 km al este de Monicamouth,Tamaulipas,7,07/12/2023,08:32:23,26.036401,-109.545145,24 km al oeste de Andersonton,Tamaulipas,7,2,Aseguramiento de aeronave y carga,2,1
04/03/2024,05:04:39,2,2,4,1,2,19.122107,-102.212091,33 km al sur de East Lauraside,Baja California,3,04/03/2024,12:05:56,19.109951,-102.27677,37 km al este de Laurieborough,Baja California,3,1,Aseguramiento de aeronave,1,4
01/04/2024,11:47:19,1,1,3,2,2,20.290436,-94.613868,19 km al norte de Port Jason,Villahermosa,10,01/04/2024,22:51:14,20.328425,-94.524008,97 km al norte de North Reginald,Villahermosa,10,2,Aseguramiento de aeronave,1,3
23/04/2024,22:13:53,3,4,4,2,1,20.061544,-107.102541,44 km al oeste de New Bruce,Villahermosa,4,23/04/2024,14:57:31,20.050035,-107.168445,51 km al este de New Tyronemouth,Villahermosa,4,2,Aseguramiento de aeronave y detención de dos personas,1,3
16/05/2024,02:44:36,2,2,1,2,2,22.998289,-96.528843,68 km al oeste de Blackville,Sinaloa,1,16/05/2024,03:32:43,23.013888,-96.572894,23 km al sur de Lake Nathan,Sinaloa,1,2,Identificación de aeronave sin contacto,2,1
05/07/2023,04:36:25,1,4,2,2,2,22.738411,-112.908833,64 km al oeste de New Sarah,Culiacán,3,05/07/2023,18:51:37,22.701975,-112.92715,56 km al sur de West Coreychester,Culiacán,3,1,No se tuvo contacto con la aeronave,1,4
01/01/2024,06:32:29,1,2,1,2,2,17.363927,-111.254244,73 km al oeste de Rodriguezburgh,Aguascalientes,6,01/01/2024,07:12:06,17.267873,-111.333488,96 km al norte de Lisaport,Aguascalientes,6,1,Aseguramiento de aeronave,2,4
11/04/2024,10:38:25,3,3,3,1,1,29.261288,-86.292372,86 km al norte de Lisaborough,Sinaloa,10,11/04/2024,23:59:02,29.245387,-86.24086,16 km al norte de New Kimberly,Sinaloa,10,2,Aseguramiento de aeronave,1,1
10/03/2024,21:02:14,2,1,1,1,2,28.318451,-112.74053,15 km al norte de Kellyburgh,San Jose,7,10/03/2024,16:47:21,28.34053,-112.764481,30 km al sur de Teresafort,San Jose,7,1,Aseguramiento de aeronave y carga,1,4
13/12/2023,00:30:30,2,4,4,1,2,22.580366,-116.630898,72 km al norte de South Ericland,Tamaulipas,3,13/12/2023,11:32:52,22.595333,-116.638771,10 km al sur de Cynthiatown,Tamaulipas,3,1,Identificación de aeronave sin contacto,1,4
25/12/2023,08:36:33,3,4,3,2,1,29.465463,-107.616408,63 km al sur de Heidiside,Tepic,7,25/12/2023,09:19:50,29.556778,-107.709914,31 km al norte de Port Johnville,Tepic,7,1,No se tuvo contacto con la aeronave,2,1
11/09/2023,12:34:03,1,1,3,1,2,25.4847,-102.52865,69 km al oeste de East David,Monterrey,5,11/09/2023,10:36:35,25.385727,-102.541193,63 km al sur de Port Cynthiafort,Monterrey,5,1,No se tuvo contacto con la aeronave,1,2
12/06/2024,17:08:42,1,4,3,1,1,24.338817,-93.354813,18 km al este de Cindyfort,Monterrey,2,12/06/2024,09:53:36,24.297034,-93.354575,56 km al sur de Peggymouth,Monterrey,2,1,Aseguramiento de aeronave y detención de dos personas,1,3
24/04/2024,17:29:47,3,3,1,2,1,23.010928,-101.450645,46 km al norte de Port Joshuaview,Querétaro,7,24/04/2024,02:24:43,23.015637,-101.400684,32 km al oeste de Amberburgh,Querétaro,7,1,Aseguramiento de aeronave,1,2
25/03/2024,16:35:12,2,2,1,2,1,23.861362,-98.547432,13 km al norte de Port Heidi,Tepic,3,25/03/2024,19:54:55,23.954537,-98.51782,79 km al norte de Anthonyport,Tepic,3,1,No se tuvo contacto con la aeronave,2,2
11/07/2023,03:06:48,2,1,2,1,1,23.154944,-113.755533,85 km al este de West Vickitown,Aguascalientes,5,11/07/2023,03:33:16,23.132815,-113.797172,50 km al sur de New Christinefort,Aguascalientes,5,2,Aseguramiento de aeronave y detención de dos personas,2,3
26/02/2024,13:46:08,2,4,1,2,2,18.187678,-116.826619,45 km al este de Lake Johnfurt,Durango,10,26/02/2024,03:32:44,18.203682,-116.910382,12 km al este de New Autumnfort,Durango,10,2,Aseguramiento de aeronave,2,1
02/04/2024,03:22:31,3,2,1,1,2,18.802053,-113.362984,93 km al oeste de East Chloeberg,Guadalajara,2,02/04/2024,17:51:14,18.81414,-113.316407,35 km al oeste de Guerrerotown,Guadalajara,2,1,Aseguramiento de aeronave,1,3
17/12/2023,02:21:18,2,3,3,2,1,20.938605,-87.552185,82 km al norte de Morrisstad,Cambutal,10,17/12/2023,00:52:02,21.014647,-87.604924,73 km al norte de West Yolandabury,Cambutal,10,1,No se tuvo contacto con la aeronave,2,3
03/01/2024,21:20:39,3,1,1,1,1,20.01262,-89.702284,53 km al este de East Robertshire,Culiacán,9,03/01/2024,16:25:52,20.066675,-89.790914,84 km al sur de Lambfurt,Culiacán,9,1,Aseguramiento de aeronave,1,1
04/01/2024,23:05:07,2,3,4,2,1,26.897826,-104.909733,66 km al este de Garciaburgh,Veracruz,10,04/01/2024,13:40:07,26.837847,-104.970747,89 km al este de Stephenmouth,Veracruz,10,2,Aseguramiento de aeronave y carga,2,3
16/04/2024,19:55:56,3,3,4,2,1,30.911367,-104.901151,95 km al este de Collinsville,Punta Espada,2,16/04/2024,08:08:16,30.848493,-104.84008,55 km al este de Lake Christianberg,Punta Espada,2,2,Identificación de aeronave sin contacto,2,2
